Name,Type,County,ElectionDate,Amount,Purpose,Description,PropNumber,VotesFor,VotesAgainst,Result
Melissa,CITY,Collin,5/4/24,2450000,Building,City Building,C,507,680,Defeated
Joshua,CITY,Johnson,5/4/24,10000000,Other,Street & Drainage,B,218,268,Defeated
Chandler,CITY,Henderson,5/4/24,3030000,Other,Street,A,323,332,Defeated
McKinney,CITY,Collin,5/4/24,36000000,Building,Court Facility,B,2816,3331,Defeated
Joshua,CITY,Johnson,5/4/24,16000000,Building,Municipal Building,A,171,315,Defeated
Irving,CITY,Dallas,5/4/24,200000000,Building,City Hall,A,2263,6160,Defeated
Donna,CITY,Hidalgo,5/4/24,45000000,Other,Bridge,A,614,315,Carried
McKinney,CITY,Collin,5/4/24,243500000,Other,Streets & Roads,E,4107,2070,Carried
Fair Oaks Ranch,CITY,Bexar-Kendall,5/4/24,16000000,Other,Street & Drainage,A,1086,499,Carried
McKinney,CITY,Collin,5/4/24,106000000,Other,Parks & Recreation,A,3604,2574,Carried
Lewisville,CITY,Denton,5/4/24,9900000,Other,Animal Care & Control,B,3798,1683,Carried
Farmers Branch,CITY,Dallas,5/4/24,2000000,Other,Recreation,B,947,823,Carried
Lacy-Lakeview,CITY,McLennan,5/4/24,9500000,Other,Streets & Roads,A,318,141,Carried
Lewisville,CITY,Denton,5/4/24,47900000,Other,Park,C,3817,1660,Carried
Lewisville,CITY,Denton,5/4/24,6700000,Other,Fire Station Improvements,A,4363,1134,Carried
Chandler,CITY,Henderson,5/4/24,2500000,Building,Library,B,339,327,Carried
Farmers Branch,CITY,Dallas,5/4/24,5500000,Other,Water,C,1238,529,Carried
McKinney,CITY,Collin,5/4/24,30000000,Other,Public Works,C,3071,3065,Carried
Farmers Branch,CITY,Dallas,5/4/24,500000,Other,Economic Development,A,972,800,Carried
McKinney,CITY,Collin,5/4/24,70000000,Other,Public Safety,D,4060,2114,Carried
Lewisville,CITY,Denton,5/4/24,198900000,Other,Street & Drainage,D,4253,1234,Carried
Lakeway,CITY,Travis,5/4/24,22000000,Other,Parks & Recreation,A,2623,1243,Carried
Hallettsville,CITY,Lavaca,5/4/24,6000000,Other,Street,A,256,195,Carried
Rhome,CITY,Wise,5/4/24,11000000,Other,Drainage Improvements,B,163,116,Carried
Rhome,CITY,Wise,5/4/24,3000000,Other,Water System Improvements,A,163,116,Carried
Rowlett,CITY,Dallas,5/4/24,4700000,Other,Public Safety,C,1259,460,Carried
Rowlett,CITY,Dallas,5/4/24,35000000,Other,Transportation,A,1268,457,Carried
Rowlett,CITY,Dallas,5/4/24,8500000,Other,Parks & Recreation,B,1102,612,Carried
Rhome,CITY,Wise,5/4/24,3500000,Other,Drainage Improvements,C,168,113,Carried
Rowlett,CITY,Dallas,5/4/24,3150000,Other,Street,D,1139,579,Carried
Dallas,CITY,Dallas,5/4/24,5000000,Other,Technology,j,34466,8022,Carried
Dallas,CITY,Dallas,5/4/24,43530000,Building,Library,D,33639,8763,Carried
Dallas,CITY,Dallas,5/4/24,26400000,Building,Housing Facility,H,30686,11817,Carried
Dallas,CITY,Dallas,5/4/24,345270000,Other,Parks & Recreation,B,34628,7921,Carried
Dallas,CITY,Dallas,5/4/24,72300000,Other,Economic Development,G,29126,13042,Carried
Dallas,CITY,Dallas,5/4/24,52100000,Other,Flood Control,C,33730,8803,Carried
Dallas,CITY,Dallas,5/4/24,521200000,Other,Transportation,A,36914,5846,Carried
Dallas,CITY,Dallas,5/4/24,19000000,Other,Homeless,I,33404,9122,Carried
Dallas,CITY,Dallas,5/4/24,75200000,Building,Cultural Arts Facilty,E,31828,10569,Carried
Dallas,CITY,Dallas,5/4/24,90000000,Other,Public Safety,F,33101,9326,Carried
Morgan Mill ISD,ISD,Erath,5/4/24,9100000,Building,School  Building,A,124,201,Defeated
Argyle ISD,ISD,Denton,5/4/24,482385000,Building,School  Building,A,1433,1530,Defeated
Anna ISD,ISD,Collin,5/4/24,100000000,Other,Stadium,A,824,1088,Defeated
Argyle ISD,ISD,Denton,5/4/24,22655000,Other,SchoolBuildingAthleticImprovements,B,1283,1699,Defeated
Copperas Cove ISD,ISD,Coryell,5/4/24,175000000,Other,School Building & Security,A,1192,1261,Defeated
Big Spring ISD,ISD,Howard,5/4/24,2300000,Other,Athletic Facilities Improvements,B,609,1181,Defeated
Big Spring ISD,ISD,Howard,5/4/24,216700000,Building,School  Building,A,601,1201,Defeated
Bridgeport ISD,ISD,Wise,5/4/24,26000000,Other,School Building & Buses,A,629,719,Defeated
Mansfield ISD,ISD,Tarrant,5/4/24,85000000,Other,Athletic Facilities Improvements,D,5112,5562,Defeated
Willis ISD,ISD,Montgomery,5/4/24,19600000,Building,Aquatic Center,C,1931,2264,Defeated
West Rusk County CISD,ISD,Rusk,5/4/24,26403037,Building,School  Building,A,159,235,Defeated
Stafford MSD,ISD,Fort Bend,5/4/24,45000000,Other,School Building & Buses,A,347,446,Defeated
Sivells Bend ISD,ISD,Cooke,5/4/24,19900000,Building,School  Building,A,63,144,Defeated
Willis ISD,ISD,Montgomery,5/4/24,68800000,Other,Athletic Facilities Improvements,B,1995,2208,Defeated
Three Way ISD,ISD,Erath,5/4/24,7500000,Building,School  Building,A,14,64,Defeated
Willis ISD,ISD,Montgomery,5/4/24,27000000,Building,School  Building,D,1969,2215,Defeated
Stafford MSD,ISD,Fort Bend,5/4/24,15000000,Other,Technology,B,362,446,Defeated
West Sabine ISD,ISD,Sabine,5/4/24,12335000,Other,School Building & Buses,A,191,233,Defeated
Yorktown ISD,ISD,DeWitt,5/4/24,20000000,Building,School  Building,A,97,244,Defeated
Tarkington ISD,ISD,Liberty,5/4/24,59000000,Other,School Building & Security,A,441,452,Defeated
Huckabay ISD,ISD,Erath,5/4/24,1900000,Building,School  Building,A,131,185,Defeated
Lorena ISD,ISD,McLennan,5/4/24,37640000,Building,School  Building,A,634,884,Defeated
Graham ISD,ISD,Young,5/4/24,10500000,Building,Multi-Pupose Center,B,554,1086,Defeated
Graham ISD,ISD,Young,5/4/24,27500000,Other,SchoolBuildingAthleticImprovements,A,716,925,Defeated
Central ISD,ISD,Angelina,5/4/24,28430000,Other,School Building & Security,A,462,495,Defeated
Clarendon ISD,ISD,Donley,5/4/24,3000000,Building,School  Building,C,217,384,Defeated
Bishop CISD,ISD,Nueces,5/4/24,8000000,Other,Athletic Facilities Improvements,B,291,336,Defeated
Aquilla ISD,ISD,Hill,5/4/24,2900000,Other,Athletic Facilities Improvements,B,183,189,Defeated
Bowie ISD,ISD,Montague,5/4/24,65800000,Other,School Building & Security,A,479,1320,Defeated
Deweyville ISD,ISD,Newton,5/4/24,47665000,Building,School  Building,A,130,348,Defeated
Axtell ISD,ISD,McLennan,5/4/24,1600000,Other,Athletic Facilities Improvements,B,156,629,Defeated
Bluff Dale ISD,ISD,Erath,5/4/24,9500000,Other,School Building & Buses,A,166,252,Defeated
Clarendon ISD,ISD,Donley,5/4/24,1800000,Other,School Building and Buses,A,244,356,Defeated
Clarendon ISD,ISD,Donley,5/4/24,6900000,Other,Athletic Facilities Improvements,B,194,411,Defeated
Axtell ISD,ISD,McLennan,5/4/24,23460000,Building,School  Building,A,167,618,Defeated
Connally ISD,ISD,McLennan,5/4/24,60000000,Other,School Building & Security,A,491,633,Defeated
Harts Bluff ISD,ISD,Titus,5/4/24,1400000,Other,Cafeteria,B,219,328,Defeated
Harts Bluff ISD,ISD,Titus,5/4/24,4000000,Other,School Building Improvements,E,184,371,Defeated
Hallettsville ISD,ISD,Lavaca,5/4/24,28245000,Other,Athletic Facilities Improvements,C,719,831,Defeated
Mansfield ISD,ISD,Tarrant,5/4/24,53000000,Building,Multi-Pupose Center,E,4625,6011,Defeated
Mansfield ISD,ISD,Tarrant,5/4/24,50500000,Other,Stadium,C,4730,5942,Defeated
Huckabay ISD,ISD,Erath,5/4/24,1800000,Other,Athletic Facilities Improvements,C,120,196,Defeated
Mercedes ISD,ISD,Hidalgo,5/4/24,48125000,Other,School Building & Buses,A,285,516,Defeated
Harts Bluff ISD,ISD,Titus,5/4/24,1100000,Building,Fine Arts Venue,D,178,369,Defeated
Huckabay ISD,ISD,Erath,5/4/24,600000,Other,SchoolBuildingAthleticImprovements,B,121,194,Defeated
Harts Bluff ISD,ISD,Titus,5/4/24,6000000,Building,School Building/Gym,C,179,373,Defeated
Lorena ISD,ISD,McLennan,5/4/24,1265000,Other,Athletic Facilities Improvements,B,604,910,Defeated
Huckabay ISD,ISD,Erath,5/4/24,900000,Refund,Refunding,D,133,183,Defeated
Hidalgo ISD,ISD,Hidalgo,5/4/24,2500000,Other,Athletic Facilities Improvements,B,296,382,Defeated
Harts Bluff ISD,ISD,Titus,5/4/24,6600000,Building,School  Building,A,197,353,Defeated
Hidalgo ISD,ISD,Hidalgo,5/4/24,23000000,Building,School  Building,A,322,376,Defeated
Rosebud-Lott ISD,ISD,Falls-Milam-Bell,5/4/24,1565000,Refund,Refunding Notes,B,184,228,Defeated
Rosebud-Lott ISD,ISD,Falls-Milam-Bell,5/4/24,22029765,Other,School Building & Buses,A,175,241,Defeated
Rosebud-Lott ISD,ISD,Falls-Milam-Bell,5/4/24,405235,Other,Athletic Facilities Improvements,C,162,250,Defeated
Panhandle ISD,ISD,Carson,5/4/24,2000000,Other,Stadium,A,184,220,Defeated
Panhandle ISD,ISD,Carson,5/4/24,3000000,Other,SchoolBuildingAthleticImprovements,B,140,266,Defeated
Godley ISD,ISD,Johnson,5/4/24,365000000,Other,School Building & Buses,A,618,829,Defeated
Granbury ISD,ISD,Hood,5/4/24,161500000,Other,"School Building, Buses & Technology",A,4933,5404,Defeated
Buckholts ISD,ISD,Milam,5/4/24,11145000,Other,School Building & Buses,A,0,1,Defeated
